Count|Name|Street|City/Town|State/County|Zip/Postcode|Phone|URL|Email
1|Capital Towing|440 Laurier Ave W #200|Ottawa|ON K1R 7X6|Canada|+1 613-909-1091|ottawa-towing.ca|
2|Victor's Towing & Recovery|Nepean|ON K2G 0A4|Canada||+1 613-727-5700|http://www.vicstowing.ca|
3|Gervais Towing & Recovery|1485 Star Top Rd|Ottawa|ON|K1B 3W5|+1 613-747-4666|http://www.gervaistowing.com|
4|Ottawa Metro Towing & Recovery|2759 Lancaster Road Unit A|Ottawa|ON|K1B 4V8|+1 613-731-1936|http://www.gometrotowing.com|
5|Kornell's Integrated Services|50 Bentley Ave|Nepean|ON K2E 6T8|Canada|+1 613-727-5624|http://www.kornell.ca|
6|Ontario Towing Service|Ottawa|ON|Canada||+1 613-619-4545|http://www.ontowing.com|
7|Response Towing Service|Nepean|Ottawa|ON|Canada|+1 613-601-6666|http://www.responsetowing.com|
8|Towex Towing Service|1402 Lowen Dr|Gloucester|ON K1V 1H3|Canada|+1 613-260-1190|http://www.jetowinginc.ca|
9|Sharkey's Towing|135 Iber Rd|Stittsville|ON|K2S 1E7|+1 613-831-5506|maps.google.com|
10|Redpath Towing|Emerald Woods - Sawmill Creek|Ottawa|ON|Canada|+1 613-233-2785|http://www.redpathtowing.com|
11|Turpin Collision Centre|1615 Laperriere Ave|Ottawa|ON K1Z 8S7|Canada|+1 613-728-1908|http://www.bemac.ca|
12|Ottawa Carleton Towing|ON K1B 5H3|Canada|||+1 613-741-6900|http://www.ottawacarletontowing.com|
13|Sheffield Auto Services|1325 Leeds Ave #6|Ottawa|ON K1B 5K9|Canada|+1 613-746-3896|http://www.sheffieldauto.ca|
15|Discount Towing Service|1076 Merivale Rd|Ottawa|ON K1Z|Canada|+1 613-227-2020|http://www.ottawadiscounttowing.ca|
18|Beaver Auto Centre|2555 Blackwell St #100|Ottawa|ON K1B 4E4|Canada|+1 613-749-4848|http://www.beaverautocentre.com|
19|Carling Motors: Mazda|1638 Carling Ave|Ottawa|ON K2A 1C5|Canada|+1 613-729-2222|http://www.carlingmazda.ca|
20|Lock Solutions|694 St Laurent Blvd|Ottawa|ON K1K 3A5|Canada|+1 613-745-2445|http://www.locksolutions.ca|
21|Abrams Towing Services Ltd|Lower Town|Ottawa|ON|Canada|+1 613-707-3373|abrams.ca|
22|Alberto Towing & Recovery|Ottawa|ON|Canada||+1 613-282-4146|http://www.albertotowing.com|
23|Ottawa Towing GK|Ottawa|ON|Canada||+1 613-229-1170|gktowing.ca|
24|Scrap That Crap|568 Alesther St|Ottawa|ON K1K 1J1|Canada|+1 613-325-3964|http://www.scrapthatcrap.com|
43|Remorquage Henrie|25 Emile Bond|Gatineau|QC J8Y 3M9|Canada|+1 819-771-4242|http://www.remorquagehenrie.com|
46|Centre voyages CAA-Québec|960 Boulevard Maloney Ouest|Gatineau|QC J8T 3R6|Canada|+1 819-778-2225|http://www.caaquebec.com|
52|Service Routier Ben Inc|623|Route 105|Chelsea|Canada|+1 819-827-1427|http://www.serviceroutierben.com|
53|Orleans Boulevard Towing|2360 Pagé Rd|Orleans|ON K1W 1H3|Canada|+1 613-837-4545|orleansblvdtowingandrecycling.ca|
54|Tow Buster|1263 Remington Way|Greely|ON K4P 1A5|Canada|+1 613-853-9810|http://www.towbuster.com|
61|Cash 4 Scrap|1263 Remington Way|Greely|ON K4P 1A5|Canada|+1 613-853-9810|http://www.cash4scrapottawa.com|
63|Weedmark Service Centre|3070 Carp Rd RR 2|Carp|ON K0A 1L0|Canada|+1 613-839-2979|http://www.weedmark.aaro.ca|
66|Srap cars (FERAILLE) = cash money !|7ch. Patrick|Chelsea|QC J9B 1M4|Canada|+1 613-229-1170|http://https://www.facebook.com|
68|B and A Towing|963 Limoges Rd|Limoge|ON K0A 2M0|Canada|+1 613-791-2886|http://www.bandatowing.ca|
77|Terry's Automotive Services|2525 County Road 43|Kemptville|ON K0G 1T0|Canada|+1 613-258-5800|http://www.terrysauto.aaro.ca|
82|Mike Fair Chevrolet Buick GMC Cadillac Ltd|199 Lombard St|Smiths Falls|ON K7A 5B8|Canada|+1 613-283-3882|http://www.famousforfairness.ca|
84|Herb White Automotive Services Limited|168 County Road 23|Merrickville|ON K0G 1N0|Canada|+1 613-269-4401|http://www.herbwhiteautomotive.ca|
86|Glauer's Road & Field Services|Concession Road 1|Finch|ON K0C 1K0|Canada|+1 613-229-7773|http://www.glauer.ca|
97|Jack's Towing & Recovery|467 Miller Dr|Perth|ON K7H 3C8|Canada|+1 613-264-9251|http://www.jackstowing.org|
108|All Purpose Towing|51 Industrial|Carleton Place|ON K7C 3V7|Canada|+1 613-253-4604|http://www.allpurposetowing.ca|
110|Doval Automotive|5457 Albion Rd|Ottawa|ON K1X 1A2|Canada|+1 613-822-7826|http://www.dovalautomotive.com|
111|Atwill Service Centre|1167 Rainbow St|Ottawa|ON K1J 9L4|Canada|+1 613-744-5644|http://www.atwill.ca|
113|Ottawa Auto Wrecking|112 Spiritwood Dr|Ottawa|ON K2M 3A2|Canada|+1 613-219-5205|http://www.ottawaautowrecking.ca|
114|U-Haul Neighborhood Dealer|5646 Main St|Manotick|ON K4M 1B3|Canada|+1 613-692-5266|http://www.uhaul.com|
116|Allright Automotive Repair Inc|2013 St Laurent Blvd|Ottawa|ON K1G 1A3|Canada|+1 613-731-4929|allrightautomotiverepair.com|
118|Canadian Tire|330 Coventry Rd|Ottawa|ON K1K 4S3|Canada|+1 613-746-4303|http://www.canadiantire.ca|
120|Swan's Garage|1486 Merivale Rd|Nepean|ON K2E 5P3|Canada|+1 613-226-2452|swansgarage.com|
121|Garage Éric Thérien|483|ch McConnell|Gatineau|Canada|+1 819-682-1795|locations.autovalue.com|
127|Beechwood Canada Auto Service|188 Beechwood Ave|Vanier|ON K1L 8A9|Canada|+1 613-749-6773|http://www.beechwoodcanadaautoservice.com|
128|Jim Dickinson Auto Tech|2599 Carling Ave|Ottawa|ON K2B 7H7|Canada|+1 613-721-6244|http://www.jimdickinsonautotech.com|
132|Mustang|1281 Joseph Drouin Ave|Orléans|ON K1C 7B1|Canada|+1 613-841-8575|http://www.ford.ca|
134|Jenkins L H Ltd|Stormont|Dundas and Glengarry 31|ON|Canada|+1 519-524-2181|http://www.lhjenkins.com|
136|Leisure Days RV Center|165 Lombard St|Smiths Falls|ON K7A 5B8|Canada|+1 613-283-2345|leisuredaysrv.ca|
137|Ontario Transmission Services|299 Montgomery St|Ottawa|ON K1L 7W8|Canada|+1 613-746-3006|http://www.ontariotransmission.com|
139|Action Car and Truck Accessories|855 Industrial Ave #1|Ottawa|ON K1G 4L4|Canada|+1 613-738-7777|http://www.actioncarandtruck.com|
141|Ottawa Tires and Rims|5370 Canotek Rd|Ottawa|ON K1J 9E8|Canada|+1 613-745-3030|http://www.ottawatiresandrims.com|
142|Fastenal Company|505 Industrial Avenue|Bay 5|Ottawa|Canada|+1 613-745-9022|http://www.fastenal.com|
143|Penske Truck Rental - Ottawa|2323 Stevenage Dr|Ottawa|ON K1G 3W1|Canada|+1 613-731-9998|http://www.pensketruckrental.com|
144|Auto Parts Locators Sales & Service|2727 Tenth Line Rd|Ottawa|ON K4A 3W7|Canada|+1 613-837-7480|http://www.aautopartslocators.com|
145|UniglassPlus/Ziebart|1754 Carling Ave|Ottawa|ON K2A 1E1|Canada|+1 613-729-4766|http://www.uniglassplus.com|
148|Giant Rv|5785 Prince of Wales Dr|North Gower|ON K0A 2E0|Canada|+1 613-489-2400|giantrv.ca|
149|Openroads Of Ottawa|1174 Carp Rd|Stittsville|ON K2N 1B9|Canada|+1 613-836-6662|http://www.openroadsrv.ca|
150|NapFish Internet Solutions|Bridlewood - Emerald Meadows|Ottawa|ON|Canada|(888) 228-8599|http://www.napfish.ca|
154|PBL Insurance Ltd.|219 Colonnade Rd S|Nepean|ON K2E 7K3|Canada|+1 613-274-3451|http://www.pblinsurance.com|
